Tanko ID,Attribute,Previous Value,New Value,Time Comparison Made
1014420,INSOLDWATT,Choose...,70,2017-10-26 14:03:51.961000
1014420,INSCOMPLET,Not Yet Installed,Installed,2017-10-26 14:03:51.961000
1001200,INSFIXTURE,Choose...,51W VERD-AO18-D-U-T3-4N7-AP,2017-10-26 14:03:51.961000
1001200,INSVOLTAGE,Choose...,120,2017-10-26 14:03:51.961000
1001200,INSPCSC,Choose...,Photocell,2017-10-26 14:03:51.961000
1001200,INSOLDLAMP,Choose...,HPS,2017-10-26 14:03:51.961000
1001200,INSOLDWATT,Choose...,100,2017-10-26 14:03:51.961000
1001200,INSCOMPLET,Not Yet Installed,Installed,2017-10-26 14:03:51.961000
1002900,INSFIXTURE,Choose...,92W VERD-AO2-D-U-T3-4N7-AP,2017-10-26 14:03:51.961000
1002900,INSVOLTAGE,Choose...,120,2017-10-26 14:03:51.961000
1002900,INSPCSC,Choose...,Photocell,2017-10-26 14:03:51.961000
1002900,INSOLDLAMP,Choose...,HPS,2017-10-26 14:03:51.961000
1002900,INSOLDWATT,Choose...,150,2017-10-26 14:03:51.961000
1002900,INSCOMPLET,Not Yet Installed,Installed,2017-10-26 14:03:51.961000
1009270,INSFIXTURE,Choose...,36W VERD-AO16-D-U-T3-4N7-AP,2017-10-26 14:03:51.961000
1009270,INSVOLTAGE,Choose...,120,2017-10-26 14:03:51.961000
1009270,INSPCSC,Choose...,Photocell,2017-10-26 14:03:51.961000
1009270,INSOLDLAMP,Choose...,HPS,2017-10-26 14:03:51.961000
1009270,INSOLDWATT,Choose...,70,2017-10-26 14:03:51.961000
1009270,INSCOMPLET,Not Yet Installed,Installed,2017-10-26 14:03:51.961000
1015490,INSFIXTURE,Choose...,36W VERD-AO16-D-U-T3-4N7-AP,2017-10-26 14:03:51.961000
1015490,INSVOLTAGE,Choose...,120,2017-10-26 14:03:51.961000
1015490,INSPCSC,Choose...,Photocell,2017-10-26 14:03:51.961000
1015490,INSOLDLAMP,Choose...,HPS,2017-10-26 14:03:51.961000
1015490,INSOLDWATT,Choose...,70,2017-10-26 14:03:51.961000
1015490,INSCOMPLET,Not Yet Installed,Installed,2017-10-26 14:03:51.961000
1008680,INSFIXTURE,Choose...,36W VERD-AO16-D-U-T3-4N7-AP,2017-10-26 14:03:51.961000
1008680,INSVOLTAGE,Choose...,120,2017-10-26 14:03:51.961000
1008680,INSPCSC,Choose...,Photocell,2017-10-26 14:03:51.961000
1008680,INSOLDLAMP,Choose...,HPS,2017-10-26 14:03:51.961000
1008680,INSOLDWATT,Choose...,70,2017-10-26 14:03:51.961000
1008680,INSCOMPLET,Not Yet Installed,Installed,2017-10-26 14:03:51.961000
1014620,INSFIXTURE,Choose...,36W VERD-AO16-D-U-T3-4N7-AP,2017-10-26 14:03:51.961000
1014620,INSVOLTAGE,Choose...,120,2017-10-26 14:03:51.961000
1014620,INSPCSC,Choose...,Photocell,2017-10-26 14:03:51.961000
1014620,INSOLDLAMP,Choose...,HPS,2017-10-26 14:03:51.961000
1014620,INSOLDWATT,Choose...,70,2017-10-26 14:03:51.961000
1014620,INSCOMPLET,Not Yet Installed,Installed,2017-10-26 14:03:51.961000
1006600,INSFIXTURE,Choose...,36W VERD-AO16-D-U-T3-4N7-AP,2017-10-26 14:03:51.961000
1006600,INSVOLTAGE,Choose...,120,2017-10-26 14:03:51.976000
1006600,INSPCSC,Choose...,Photocell,2017-10-26 14:03:51.977000
1006600,INSOLDLAMP,Choose...,HPS,2017-10-26 14:03:51.977000
1006600,INSOLDWATT,Choose...,70,2017-10-26 14:03:51.977000
1006600,INSCOMPLET,Not Yet Installed,Installed,2017-10-26 14:03:51.977000
1002570,INSFIXTURE,Choose...,92W VERD-AO2-D-U-T3-4N7-AP,2017-10-26 14:03:51.977000
1002570,INSVOLTAGE,Choose...,120,2017-10-26 14:03:51.977000
1002570,INSPCSC,Choose...,Photocell,2017-10-26 14:03:51.977000
1002570,INSOLDLAMP,Choose...,HPS,2017-10-26 14:03:51.977000
1002570,INSOLDWATT,Choose...,150,2017-10-26 14:03:51.977000
1002570,INSCOMPLET,Not Yet Installed,Installed,2017-10-26 14:03:51.977000
1014830,INSFIXTURE,Choose...,36W VERD-AO16-D-U-T3-4N7-AP,2017-10-26 14:03:51.977000
1014830,INSVOLTAGE,Choose...,120,2017-10-26 14:03:51.977000
1014830,INSPCSC,Choose...,Photocell,2017-10-26 14:03:51.977000
1014830,INSOLDLAMP,Choose...,HPS,2017-10-26 14:03:51.977000
1014830,INSOLDWATT,Choose...,70,2017-10-26 14:03:51.977000
1014830,INSCOMPLET,Not Yet Installed,Installed,2017-10-26 14:03:51.977000
1015090,INSFIXTURE,Choose...,36W VERD-AO16-D-U-T3-4N7-AP,2017-10-26 14:03:51.977000
1015090,INSVOLTAGE,Choose...,120,2017-10-26 14:03:51.977000
1015090,INSPCSC,Choose...,Photocell,2017-10-26 14:03:51.977000
1015090,INSOLDLAMP,Choose...,HPS,2017-10-26 14:03:51.977000
1015090,INSOLDWATT,Choose...,70,2017-10-26 14:03:51.977000
1015090,INSCOMPLET,Not Yet Installed,Installed,2017-10-26 14:03:51.977000
1014360,INSFIXTURE,Choose...,36W VERD-AO16-D-U-T3-4N7-AP,2017-10-26 14:03:51.977000
1014360,INSVOLTAGE,Choose...,120,2017-10-26 14:03:51.977000
1014360,INSPCSC,Choose...,Photocell,2017-10-26 14:03:51.977000
1014360,INSOLDLAMP,Choose...,HPS,2017-10-26 14:03:51.977000
1014360,INSOLDWATT,Choose...,70,2017-10-26 14:03:51.977000
1014360,INSCOMPLET,Not Yet Installed,Installed,2017-10-26 14:03:51.977000
1036920,INSFIXTURE,Choose...,36W VERD-AO16-D-U-T3-4N7-AP,2017-10-26 14:03:51.977000
1036920,INSVOLTAGE,Choose...,120,2017-10-26 14:03:51.977000
1036920,INSPCSC,Choose...,Photocell,2017-10-26 14:03:51.977000
1036920,INSOLDLAMP,Choose...,HPS,2017-10-26 14:03:51.977000
1036920,INSOLDWATT,Choose...,200,2017-10-26 14:03:51.977000
1036920,INSCOMPLET,Not Yet Installed,Installed,2017-10-26 14:03:51.977000
1001380,INSFIXTURE,Choose...,92W VERD-AO2-D-U-T3-4N7-AP,2017-10-26 14:03:51.977000
1001380,INSVOLTAGE,Choose...,120,2017-10-26 14:03:51.977000
1001380,INSPCSC,Choose...,Photocell,2017-10-26 14:03:51.977000
1001380,INSOLDLAMP,Choose...,HPS,2017-10-26 14:03:51.977000
1001380,INSOLDWATT,Choose...,150,2017-10-26 14:03:51.977000
1001380,INSCOMPLET,Not Yet Installed,Installed,2017-10-26 14:03:51.977000
1014100,INSFIXTURE,Choose...,36W VERD-AO16-D-U-T3-4N7-AP,2017-10-26 14:03:51.977000
